Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Trello2,,,,2022-02-15 18:22:47,2022-02-15 18:23:40,53.659s,FAILED
,,,,,,,
Test Cases/Trello Api Automation/TC08 Add a Sticker - Update a Sticker - Delete a Sticker,,,,2022-02-15 18:22:47,2022-02-15 18:22:54,7.064s,PASSED
"boardNameVar = ""Add Sticker to a Card""",,,,2022-02-15 18:22:47,2022-02-15 18:22:47,0.001s,PASSED
"nameofListVar = ""List of Sticker""",,,,2022-02-15 18:22:47,2022-02-15 18:22:47,0.001s,PASSED
"cardNameVar = ""taco sticker""",,,,2022-02-15 18:22:47,2022-02-15 18:22:47,0.000s,PASSED
"imageNameVar = ""taco-confused""",,,,2022-02-15 18:22:47,2022-02-15 18:22:47,0.001s,PASSED
topVar = 10,,,,2022-02-15 18:22:47,2022-02-15 18:22:47,0.000s,PASSED
leftVar = 20,,,,2022-02-15 18:22:47,2022-02-15 18:22:47,0.000s,PASSED
zIndexVar = 3,,,,2022-02-15 18:22:47,2022-02-15 18:22:47,0.000s,PASSED
topUpdateVar = 70,,,,2022-02-15 18:22:47,2022-02-15 18:22:47,0.000s,PASSED
leftUpdateVar = 40,,,,2022-02-15 18:22:47,2022-02-15 18:22:47,0.000s,PASSED
zIndexUpdateVar = 3,,,,2022-02-15 18:22:47,2022-02-15 18:22:47,0.000s,PASSED
"response1 = sendRequest(findTestObject(""Trello/Board Creation"", [""urlBoard"":url_Board, ""boardName"":boardNameVar]))",,,,2022-02-15 18:22:47,2022-02-15 18:22:50,2.558s,PASSED
"verifyResponseStatusCode(response1, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:22:50,2022-02-15 18:22:50,0.029s,PASSED
"idBoardVar = getElementPropertyValue(response1, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:22:50,2022-02-15 18:22:50,0.046s,PASSED
"containsString(response1, boardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:22:50,2022-02-15 18:22:50,0.023s,PASSED
"response2 = sendRequest(findTestObject(""Trello/List/Create a new list"", [""urlList"":url_List, ""nameofList"":nameofListVar, ""idBoard"":idBoardVar]))",,,,2022-02-15 18:22:50,2022-02-15 18:22:51,0.803s,PASSED
"verifyResponseStatusCode(response2, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:22:51,2022-02-15 18:22:51,0.000s,PASSED
"listIdVar = getElementPropertyValue(response2, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:22:51,2022-02-15 18:22:51,0.016s,PASSED
"containsString(response2, nameofListVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:22:51,2022-02-15 18:22:51,0.000s,PASSED
"response3 = sendRequest(findTestObject(""Trello/Create card"", [""urlCard"":url_Card, ""listId"":listIdVar, ""cardName"":cardNameVar]))",,,,2022-02-15 18:22:51,2022-02-15 18:22:52,0.795s,PASSED
"verifyResponseStatusCode(response3, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:22:52,2022-02-15 18:22:52,0.000s,PASSED
"idCardVar = getElementPropertyValue(response3, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:22:52,2022-02-15 18:22:52,0.027s,PASSED
"containsString(response3, cardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:22:52,2022-02-15 18:22:52,0.003s,PASSED
"response4 = sendRequest(findTestObject(""Trello/Sticker/Add a Sticker on Card"", [""urlCard"":url_Card, ""idCard"":idCardVar, ""imageName"":imageNameVar, ""top"":topVar, ""left"":leftVar, ""zIndex"":zIndexVar]))",,,,2022-02-15 18:22:52,2022-02-15 18:22:53,0.804s,PASSED
"verifyResponseStatusCode(response4, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:22:53,2022-02-15 18:22:53,0.000s,PASSED
"idStickerVar = getElementPropertyValue(response4, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:22:53,2022-02-15 18:22:53,0.016s,PASSED
"containsString(response4, imageNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:22:53,2022-02-15 18:22:53,0.015s,PASSED
