Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
board_response = response1.getResponseText(),,,,2022-02-15 18:02:14,2022-02-15 18:02:14,0.000s,PASSED
"println(""
	"" + board_response + ""
	"")",,,,2022-02-15 18:02:14,2022-02-15 18:02:14,0.015s,PASSED
"containsString(response1, boardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:14,2022-02-15 18:02:14,0.000s,PASSED
"response2 = sendRequest(findTestObject(""Trello/List/Create a new list"", [""urlList"":url_List, ""nameofList"":nameofListVar, ""idBoard"":idBoardVar]))",,,,2022-02-15 18:02:14,2022-02-15 18:02:15,0.796s,PASSED
"verifyResponseStatusCode(response2, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:15,2022-02-15 18:02:15,0.000s,PASSED
"containsString(response2, nameofListVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:15,2022-02-15 18:02:15,0.000s,PASSED
"listIdVar = getElementPropertyValue(response2, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:15,2022-02-15 18:02:15,0.016s,PASSED
"response3 = sendRequest(findTestObject(""Trello/Create card"", [""urlCard"":url_Card, ""listId"":listIdVar, ""cardName"":cardNameVar]))",,,,2022-02-15 18:02:15,2022-02-15 18:02:16,0.844s,PASSED
"verifyResponseStatusCode(response3, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:16,2022-02-15 18:02:16,0.000s,PASSED
"idCardVar = getElementPropertyValue(response3, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:16,2022-02-15 18:02:16,0.015s,PASSED
card_response = response3.getResponseText(),,,,2022-02-15 18:02:16,2022-02-15 18:02:16,0.000s,PASSED
"println(""
	"" + card_response + ""
	"")",,,,2022-02-15 18:02:16,2022-02-15 18:02:16,0.000s,PASSED
"containsString(response3, cardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:16,2022-02-15 18:02:16,0.000s,PASSED
"response4 = sendRequest(findTestObject(""Trello/Attachment/Add an attachment to a Card"", [""urlCard"":url_Card, ""idCard"":idCardVar, ""urlAttachment"":urlAttachmentVar]))",,,,2022-02-15 18:02:16,2022-02-15 18:02:17,0.875s,PASSED
"verifyResponseStatusCode(response4, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:17,2022-02-15 18:02:17,0.001s,PASSED
"idAttachmentVar = getElementPropertyValue(response4, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:17,2022-02-15 18:02:17,0.019s,PASSED
"containsString(response4, urlAttachmentVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:17,2022-02-15 18:02:17,0.000s,PASSED
"response5 = sendRequest(findTestObject(""Trello/Attachment/Get an attachment"", [""urlCard"":url_Card, ""idCard"":idCardVar, ""idAttachment"":idAttachmentVar]))",,,,2022-02-15 18:02:17,2022-02-15 18:02:17,0.694s,PASSED
"verifyResponseStatusCode(response5, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:17,2022-02-15 18:02:17,0.000s,PASSED
"containsString(response5, urlAttachmentVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:17,2022-02-15 18:02:17,0.000s,PASSED
"response6 = sendRequest(findTestObject(""Trello/Attachment/Delete an Attachement"", [""urlCard"":url_Card, ""idAttachment"":idAttachmentVar, ""idCard"":idCardVar]))",,,,2022-02-15 18:02:17,2022-02-15 18:02:18,0.804s,PASSED
"verifyResponseStatusCode(response6, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:18,2022-02-15 18:02:18,0.000s,PASSED
,,,,,,,
Test Cases/Trello Api Automation/TC10 Add Comment on Card - Update a Comment - Delete a Comment,,,Trello/card,2022-02-15 18:02:18,2022-02-15 18:02:23,4.959s,PASSED
"boardNameVar = ""Add Comment on a Card""",,,,2022-02-15 18:02:18,2022-02-15 18:02:18,0.000s,PASSED
"nameofListVar = ""List""",,,,2022-02-15 18:02:18,2022-02-15 18:02:18,0.000s,PASSED
"cardNameVar = ""Comment""",,,,2022-02-15 18:02:18,2022-02-15 18:02:18,0.000s,PASSED
"commentVar = ""This is the comment added to this card""",,,,2022-02-15 18:02:18,2022-02-15 18:02:18,0.000s,PASSED
"commentUpdateVar = ""This is the updated comment added to this card""",,,,2022-02-15 18:02:18,2022-02-15 18:02:18,0.000s,PASSED
"response1 = sendRequest(findTestObject(""Trello/Board Creation"", [""urlBoard"":url_Board, ""boardName"":boardNameVar]))",,,,2022-02-15 18:02:18,2022-02-15 18:02:19,0.816s,PASSED
"verifyResponseStatusCode(response1, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:19,2022-02-15 18:02:19,0.000s,PASSED
"idBoardVar = getElementPropertyValue(response1, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:19,2022-02-15 18:02:19,0.016s,PASSED
"containsString(response1, boardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:19,2022-02-15 18:02:19,0.016s,PASSED
