Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
board_response = response1.getResponseText(),,,,2022-02-09 19:22:47,2022-02-09 19:22:47,0.016s,PASSED
"println(""
	"" + board_response + ""
	"")",,,,2022-02-09 19:22:47,2022-02-09 19:22:47,0.000s,PASSED
"containsString(response1, boardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:47,2022-02-09 19:22:47,0.000s,PASSED
"response2 = sendRequest(findTestObject(""Trello/List/Create a new list"", [""urlList"":url_List, ""nameofList"":nameofListVar, ""idBoard"":idBoardVar]))",,,,2022-02-09 19:22:47,2022-02-09 19:22:48,0.734s,PASSED
"verifyResponseStatusCode(response2, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:48,2022-02-09 19:22:48,0.000s,PASSED
"containsString(response2, nameofListVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:48,2022-02-09 19:22:48,0.000s,PASSED
"listIdVar = getElementPropertyValue(response2, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:48,2022-02-09 19:22:48,0.016s,PASSED
"response3 = sendRequest(findTestObject(""Trello/Create card"", [""urlCard"":url_Card, ""listId"":listIdVar, ""cardName"":cardNameVar]))",,,,2022-02-09 19:22:48,2022-02-09 19:22:49,0.784s,PASSED
"verifyResponseStatusCode(response3, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:49,2022-02-09 19:22:49,0.002s,PASSED
"idCardVar = getElementPropertyValue(response3, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:49,2022-02-09 19:22:49,0.015s,PASSED
card_response = response3.getResponseText(),,,,2022-02-09 19:22:49,2022-02-09 19:22:49,0.000s,PASSED
"println(""
	"" + card_response + ""
	"")",,,,2022-02-09 19:22:49,2022-02-09 19:22:49,0.000s,PASSED
"containsString(response3, cardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:49,2022-02-09 19:22:49,0.000s,PASSED
"response4 = sendRequest(findTestObject(""Trello/Attachment/Add an attachment to a Card"", [""urlCard"":url_Card, ""idCard"":idCardVar, ""urlAttachment"":urlAttachmentVar]))",,,,2022-02-09 19:22:49,2022-02-09 19:22:50,0.889s,PASSED
"verifyResponseStatusCode(response4, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:50,2022-02-09 19:22:50,0.000s,PASSED
"idAttachmentVar = getElementPropertyValue(response4, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:50,2022-02-09 19:22:50,0.017s,PASSED
"containsString(response4, urlAttachmentVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:50,2022-02-09 19:22:50,0.000s,PASSED
"response5 = sendRequest(findTestObject(""Trello/Attachment/Get an attachment"", [""urlCard"":url_Card, ""idCard"":idCardVar, ""idAttachment"":idAttachmentVar]))",,,,2022-02-09 19:22:50,2022-02-09 19:22:50,0.663s,PASSED
"verifyResponseStatusCode(response5, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:50,2022-02-09 19:22:50,0.000s,PASSED
"containsString(response5, urlAttachmentVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:50,2022-02-09 19:22:50,0.000s,PASSED
"response6 = sendRequest(findTestObject(""Trello/Attachment/Delete an Attachement"", [""urlCard"":url_Card, ""idAttachment"":idAttachmentVar, ""idCard"":idCardVar]))",,,,2022-02-09 19:22:50,2022-02-09 19:22:51,0.737s,PASSED
"verifyResponseStatusCode(response6, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:51,2022-02-09 19:22:51,0.000s,PASSED
,,,,,,,
Test Cases/Trello Api Automation/TC10 Add Comment on Card - Update a Comment - Delete a Comment,,,Trello/card,2022-02-09 19:22:51,2022-02-09 19:22:56,5.209s,PASSED
"boardNameVar = ""Add Comment on a Card""",,,,2022-02-09 19:22:51,2022-02-09 19:22:51,0.012s,PASSED
"nameofListVar = ""List""",,,,2022-02-09 19:22:51,2022-02-09 19:22:51,0.000s,PASSED
"cardNameVar = ""Comment""",,,,2022-02-09 19:22:51,2022-02-09 19:22:51,0.001s,PASSED
"commentVar = ""This is the comment added to this card""",,,,2022-02-09 19:22:51,2022-02-09 19:22:51,0.000s,PASSED
"commentUpdateVar = ""This is the updated comment added to this card""",,,,2022-02-09 19:22:51,2022-02-09 19:22:51,0.000s,PASSED
"response1 = sendRequest(findTestObject(""Trello/Board Creation"", [""urlBoard"":url_Board, ""boardName"":boardNameVar]))",,,,2022-02-09 19:22:51,2022-02-09 19:22:52,1.011s,PASSED
"verifyResponseStatusCode(response1, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:52,2022-02-09 19:22:52,0.000s,PASSED
"idBoardVar = getElementPropertyValue(response1, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:52,2022-02-09 19:22:52,0.016s,PASSED
"containsString(response1, boardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:52,2022-02-09 19:22:52,0.000s,PASSED
"response2 = sendRequest(findTestObject(""Trello/List/Create a new list"", [""urlList"":url_List, ""nameofList"":nameofListVar, ""idBoard"":idBoardVar]))",,,,2022-02-09 19:22:52,2022-02-09 19:22:53,0.755s,PASSED
"verifyResponseStatusCode(response2, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:53,2022-02-09 19:22:53,0.000s,PASSED
"listIdVar = getElementPropertyValue(response2, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:53,2022-02-09 19:22:53,0.016s,PASSED
"containsString(response2, nameofListVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:53,2022-02-09 19:22:53,0.000s,PASSED
"response3 = sendRequest(findTestObject(""Trello/Create card"", [""urlCard"":url_Card, ""listId"":listIdVar, ""cardName"":cardNameVar]))",,,,2022-02-09 19:22:53,2022-02-09 19:22:54,0.841s,PASSED
"verifyResponseStatusCode(response3, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:54,2022-02-09 19:22:54,0.000s,PASSED
"idCardVar = getElementPropertyValue(response3, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:54,2022-02-09 19:22:54,0.031s,PASSED
"containsString(response3, cardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:54,2022-02-09 19:22:54,0.000s,PASSED
"response4 = sendRequest(findTestObject(""Trello/Comment on Card/Add a comment to a Card"", [""urlCard"":url_Card, ""idCard"":idCardVar, ""comment"":commentVar]))",,,,2022-02-09 19:22:54,2022-02-09 19:22:55,0.722s,PASSED
"verifyResponseStatusCode(response4, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:55,2022-02-09 19:22:55,0.000s,PASSED
"containsString(response4, commentVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:55,2022-02-09 19:22:55,0.015s,PASSED
Data = response4.getResponseText(),,,,2022-02-09 19:22:55,2022-02-09 19:22:55,0.000s,PASSED
"print(""
	"" + Data + ""
	"")",,,,2022-02-09 19:22:55,2022-02-09 19:22:55,0.000s,PASSED
"idActionVar = getElementPropertyValue(response4, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:55,2022-02-09 19:22:55,0.016s,PASSED
"response5 = sendRequest(findTestObject(""Trello/Comment on Card/Update a comment on a card"", [""urlCard"":url_Card, ""idCard"":idCardVar, ""commentUpdate"":commentUpdateVar, ""idAction"":idActionVar]))",,,,2022-02-09 19:22:55,2022-02-09 19:22:56,0.773s,PASSED
"verifyResponseStatusCode(response5, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:56,2022-02-09 19:22:56,0.001s,PASSED
"containsString(response5, commentUpdateVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:56,2022-02-09 19:22:56,0.000s,PASSED
"response6 = sendRequest(findTestObject(""Trello/Comment on Card/Delete a comment on a card"", [""urlCard"":url_Card, ""idCard"":idCardVar, ""idAction"":idActionVar]))",,,,2022-02-09 19:22:56,2022-02-09 19:22:56,0.711s,PASSED
"verifyResponseStatusCode(response6, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:56,2022-02-09 19:22:56,0.000s,PASSED
,,,,,,,
Test Cases/Trello Api Automation/TC11 Add a label on Card - Get the data from Label- Remove the added Label,,,,2022-02-09 19:22:56,2022-02-09 19:23:01,5.086s,PASSED
"labelColorVar = ""yellow""",,,,2022-02-09 19:22:57,2022-02-09 19:22:57,0.007s,PASSED
"deleteParticularLabelRespMsg = ""{""_value"":null}""",,,,2022-02-09 19:22:57,2022-02-09 19:22:57,0.001s,PASSED
"boardNameVar = ""Add Label to a Card """,,,,2022-02-09 19:22:57,2022-02-09 19:22:57,0.001s,PASSED
"nameofListVar = ""List1""",,,,2022-02-09 19:22:57,2022-02-09 19:22:57,0.000s,PASSED
"cardNameVar = ""My card""",,,,2022-02-09 19:22:57,2022-02-09 19:22:57,0.000s,PASSED
"response1 = sendRequest(findTestObject(""Trello/Board Creation"", [""urlBoard"":url_Board, ""boardName"":boardNameVar]))",,,,2022-02-09 19:22:57,2022-02-09 19:22:57,0.889s,PASSED
"verifyResponseStatusCode(response1, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:57,2022-02-09 19:22:57,0.000s,PASSED
"idBoardVar = getElementPropertyValue(response1, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:57,2022-02-09 19:22:57,0.015s,PASSED
board_response = response1.getResponseText(),,,,2022-02-09 19:22:57,2022-02-09 19:22:57,0.000s,PASSED
"println(""
	"" + board_response + ""
	"")",,,,2022-02-09 19:22:57,2022-02-09 19:22:57,0.000s,PASSED
"response2 = sendRequest(findTestObject(""Trello/List/Create a new list"", [""urlList"":url_List, ""nameofList"":nameofListVar, ""idBoard"":idBoardVar]))",,,,2022-02-09 19:22:57,2022-02-09 19:22:58,0.817s,PASSED
"verifyResponseStatusCode(response2, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:58,2022-02-09 19:22:58,0.000s,PASSED
"listIdVar = getElementPropertyValue(response2, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:58,2022-02-09 19:22:58,0.016s,PASSED
"response3 = sendRequest(findTestObject(""Trello/Create card"", [""urlCard"":url_Card, ""listId"":listIdVar, ""cardName"":cardNameVar]))",,,,2022-02-09 19:22:58,2022-02-09 19:22:59,0.750s,PASSED
